volume,pdf_page,doi,title,category,summary_zh,doi_url,pdf_file
Volume 1,16,10.1145/3760250.3762226,A Data-Driven Dynamic Execution Orchestration Architecture,AI/专用硬件加速器与可重构架构,Domain-specific accelerators deliver exceptional performance on their target workloads through fabrication-time orchestrated datapaths.,https://doi.org/10.1145/3760250.3762226,asplos2026.volume1.3760250.pdf
Volume 2,190,10.1145/3779212.3790127,Arancini: A Hybrid Binary Translator for Weak Memory Model Architectures,AI/专用硬件加速器与可重构架构,Binary translation is a powerful approach to support crossarchitecture emulation of unmodified binaries in increasingly heterogeneous computing environments.,https://doi.org/10.1145/3779212.3790127,asplos2026.volume2.3779212.pdf
Volume 2,272,10.1145/3779212.3790132,BitRed: Taming Non-Uniform Bit-Level Sparsity with a Programmable RISC-V ISA for DNN Acceleration,AI/专用硬件加速器与可重构架构,The non-uniform and dynamic nature of Bit-Level Sparsity (BLS) poses a critical load-imbalance challenge for parallel hardware accelerators.,https://doi.org/10.1145/3779212.3790132,asplos2026.volume2.3779212.pdf
Volume 2,782,10.1145/3779212.3790162,Finding Reusable Instructions via E-Graph Anti-Unification,AI/专用硬件加速器与可重构架构,Domain-specific accelerators provide an increasingly valuable source of performance for diverse applications.,https://doi.org/10.1145/3779212.3790162,asplos2026.volume2.3779212.pdf
Volume 2,995,10.1145/3779212.3790174,I/O Analysis is All You Need: An I/O Analysis for Long-Sequence Attention,AI/专用硬件加速器与可重构架构,"As GPUs and other accelerators become increasingly popular, optimizing I/O operations between on-chip and off-chip memory is increasingly critical.",https://doi.org/10.1145/3779212.3790174,asplos2026.volume2.3779212.pdf
Volume 2,1318,10.1145/3779212.3790193,Neura: A Unified Framework for Hierarchical and Adaptive CGRAs,AI/专用硬件加速器与可重构架构,Coarse-Grained Reconfigurable Arrays (CGRAs) are a promising solution for energy-efficient acceleration across multiple application domains.,https://doi.org/10.1145/3779212.3790193,asplos2026.volume2.3779212.pdf
Volume 2,1580,10.1145/3779212.3790238,Transforming Torus Fabrics for Efficient Multi-tenant ML,AI/专用硬件加速器与可重构架构,"We develop Morphlux, a server-scale programmable photonic fabric to interconnect accelerators within servers.",https://doi.org/10.1145/3779212.3790238,asplos2026.volume2.3779212.pdf
Volume 1,100,10.1145/3760250.3762222,cuJSON: A Highly Parallel JSON Parser for GPUs,GPU 编程、内核、稀疏与图计算,"JSON (JavaScript Object Notation) data is widely used in modern computing, yet its parsing performance can be a major bottleneck.",https://doi.org/10.1145/3760250.3762222,asplos2026.volume1.3760250.pdf
Volume 2,58,10.1145/3779212.3790120,A Framework for Developing and Optimizing Fully Homomorphic Encryption Programs on GPUs,GPU 编程、内核、稀疏与图计算,"In sensitive domains such as healthcare and finance, machine learning increasingly employs Fully Homomorphic Encryption (FHE) to secure both user data and models.",https://doi.org/10.1145/3779212.3790120,asplos2026.volume2.3779212.pdf
Volume 2,241,10.1145/3779212.3790130,Asynchrony and GPUs: Bridging this Dichotomy for I/O with AGIO,GPU 编程、内核、稀疏与图计算,GPUs rely on a largely synchronous programming and execution model.,https://doi.org/10.1145/3779212.3790130,asplos2026.volume2.3779212.pdf
